Time,Value
2021-08-23T16:24:34.794713Z,52
2021-08-23T16:24:35.182464Z,51
2021-08-23T16:24:35.567784Z,53
2021-08-23T16:24:35.957446Z,55
2021-08-23T16:24:36.34166Z,55
2021-08-23T16:24:36.729037Z,54
2021-08-23T16:24:37.101433Z,53
2021-08-23T16:24:37.476799Z,54
2021-08-23T16:24:37.899412Z,51
2021-08-23T16:24:38.295656Z,50
2021-08-23T16:24:38.674155Z,49
2021-08-23T16:24:39.052888Z,55
2021-08-23T16:24:39.455777Z,48
2021-08-23T16:24:39.863883Z,47
2021-08-23T16:24:40.275631Z,46
2021-08-23T16:24:40.649236Z,44
2021-08-23T16:24:41.091378Z,46
2021-08-23T16:24:41.535564Z,50
2021-08-23T16:24:41.960551Z,53
2021-08-23T16:24:42.354411Z,54
2021-08-23T16:24:42.732156Z,54
2021-08-23T16:24:43.13244Z,53
2021-08-23T16:24:43.504947Z,54
2021-08-23T16:24:43.870895Z,53
2021-08-23T16:24:44.314389Z,52
2021-08-23T16:24:44.743838Z,51
2021-08-23T16:24:45.132023Z,51
2021-08-23T16:24:45.56786Z,52
2021-08-23T16:24:46.010842Z,52
2021-08-23T16:24:46.390535Z,53
2021-08-23T16:24:46.787947Z,57
2021-08-23T16:24:47.184142Z,60
2021-08-23T16:24:47.587552Z,58
2021-08-23T16:24:48.010623Z,56
2021-08-23T16:24:48.416738Z,57
2021-08-23T16:24:48.784784Z,58
2021-08-23T16:24:49.187325Z,59
2021-08-23T16:24:49.583205Z,58
2021-08-23T16:24:50.019947Z,56
2021-08-23T16:24:50.383677Z,58
2021-08-23T16:24:50.817878Z,58
2021-08-23T16:24:51.181878Z,57
2021-08-23T16:24:51.557218Z,56
2021-08-23T16:24:51.999997Z,55
2021-08-23T16:24:52.390221Z,52
2021-08-23T16:24:52.796331Z,51
2021-08-23T16:24:53.17762Z,49
2021-08-23T16:24:53.580311Z,47
2021-08-23T16:24:53.944164Z,46
2021-08-23T16:24:54.343542Z,46
2021-08-23T16:24:54.749349Z,45
2021-08-23T16:24:55.136203Z,44
2021-08-23T16:24:55.542877Z,42
2021-08-23T16:24:55.926671Z,40
2021-08-23T16:24:56.295483Z,40
2021-08-23T16:24:56.720865Z,39
2021-08-23T16:24:57.12555Z,39
2021-08-23T16:24:57.526006Z,38
2021-08-23T16:24:57.915338Z,37
2021-08-23T16:24:58.2868Z,37
2021-08-23T16:24:58.705851Z,35
2021-08-23T16:24:59.07914Z,33
2021-08-23T16:24:59.47339Z,34
2021-08-23T16:24:59.868638Z,32
2021-08-23T16:25:00.230248Z,33
2021-08-23T16:25:00.677342Z,31
2021-08-23T16:25:01.046051Z,31
2021-08-23T16:25:01.465695Z,31
2021-08-23T16:25:01.843339Z,30
2021-08-23T16:25:02.271318Z,29
2021-08-23T16:25:02.688314Z,39
2021-08-23T16:25:03.095615Z,44
2021-08-23T16:25:03.520839Z,46
2021-08-23T16:25:03.900463Z,46
2021-08-23T16:25:04.286764Z,45
2021-08-23T16:25:04.690173Z,42
2021-08-23T16:25:05.070243Z,41
2021-08-23T16:25:05.482253Z,41
2021-08-23T16:25:05.876977Z,43
2021-08-23T16:25:06.286147Z,45
2021-08-23T16:25:06.674412Z,45
2021-08-23T16:25:07.081694Z,44
2021-08-23T16:25:07.456736Z,42
2021-08-23T16:25:07.857017Z,39
2021-08-23T16:25:08.238441Z,37
2021-08-23T16:25:08.65544Z,36
2021-08-23T16:25:09.060534Z,36
2021-08-23T16:25:09.463283Z,35
2021-08-23T16:25:09.932745Z,34
2021-08-23T16:25:10.325586Z,34
2021-08-23T16:25:10.719468Z,34
2021-08-23T16:25:11.084214Z,35
2021-08-23T16:25:11.457118Z,35
2021-08-23T16:25:11.829937Z,33
2021-08-23T16:25:12.218845Z,35
2021-08-23T16:25:12.618271Z,33
2021-08-23T16:25:12.991661Z,32
2021-08-23T16:25:13.36925Z,32
2021-08-23T16:25:13.764846Z,33
2021-08-23T16:25:14.146968Z,33
2021-08-23T16:25:14.565827Z,32
2021-08-23T16:25:14.982225Z,32
2021-08-23T16:25:15.377126Z,31
2021-08-23T16:25:15.777326Z,31
2021-08-23T16:25:16.168961Z,31
2021-08-23T16:25:16.587705Z,30
2021-08-23T16:25:17.017541Z,31
2021-08-23T16:25:17.39203Z,30
2021-08-23T16:25:17.774693Z,30
2021-08-23T16:25:18.153406Z,31
2021-08-23T16:25:18.571957Z,33
2021-08-23T16:25:18.953912Z,33
2021-08-23T16:25:19.347346Z,33
2021-08-23T16:25:19.712437Z,32
2021-08-23T16:25:20.184617Z,31
2021-08-23T16:25:20.590169Z,31
2021-08-23T16:25:20.984787Z,31
2021-08-23T16:25:21.513307Z,31
2021-08-23T16:25:21.906828Z,30
2021-08-23T16:25:22.55924Z,30
2021-08-23T16:25:23.029101Z,29
2021-08-23T16:25:23.426411Z,31
2021-08-23T16:25:23.971083Z,31
2021-08-23T16:25:24.497994Z,30
2021-08-23T16:25:24.898862Z,30
2021-08-23T16:25:25.291012Z,30
2021-08-23T16:25:25.685218Z,30
2021-08-23T16:25:26.079357Z,30
2021-08-23T16:25:26.479353Z,35
2021-08-23T16:25:26.901632Z,31
2021-08-23T16:25:27.317119Z,31
2021-08-23T16:25:27.73619Z,32
2021-08-23T16:25:28.13222Z,32
2021-08-23T16:25:28.572401Z,31
2021-08-23T16:25:28.996782Z,30
2021-08-23T16:25:29.424167Z,29
2021-08-23T16:25:29.815641Z,29
2021-08-23T16:25:30.216702Z,32
2021-08-23T16:25:30.634017Z,37
2021-08-23T16:25:31.042327Z,40
2021-08-23T16:25:31.430246Z,41
2021-08-23T16:25:31.796167Z,42
2021-08-23T16:25:32.161269Z,41
2021-08-23T16:25:32.547251Z,43
2021-08-23T16:25:32.965961Z,45
2021-08-23T16:25:33.374263Z,44
2021-08-23T16:25:33.773684Z,43
2021-08-23T16:25:34.156759Z,41
2021-08-23T16:25:34.535624Z,39
2021-08-23T16:25:34.917348Z,38
2021-08-23T16:25:35.315761Z,37
2021-08-23T16:25:35.738308Z,38
2021-08-23T16:25:36.124426Z,42
2021-08-23T16:25:36.50313Z,45
2021-08-23T16:25:36.912159Z,48
2021-08-23T16:25:37.344343Z,49
2021-08-23T16:25:37.720225Z,49
2021-08-23T16:25:38.139473Z,50
2021-08-23T16:25:38.528227Z,50
2021-08-23T16:25:38.948334Z,50
2021-08-23T16:25:39.400945Z,51
2021-08-23T16:25:39.798787Z,51
2021-08-23T16:25:40.16744Z,53
2021-08-23T16:25:40.623833Z,53
2021-08-23T16:25:41.015278Z,52
2021-08-23T16:25:41.398532Z,50
2021-08-23T16:25:41.788895Z,48
2021-08-23T16:25:42.186534Z,48
2021-08-23T16:25:42.573146Z,49
2021-08-23T16:25:42.949804Z,50
2021-08-23T16:25:43.375346Z,50
2021-08-23T16:25:43.761052Z,51
2021-08-23T16:25:44.167899Z,53
2021-08-23T16:25:44.539983Z,52
2021-08-23T16:25:44.959328Z,51
2021-08-23T16:25:45.378161Z,50
2021-08-23T16:25:45.837943Z,50
2021-08-23T16:25:46.230901Z,49
2021-08-23T16:25:46.642686Z,49
2021-08-23T16:25:47.037223Z,48
2021-08-23T16:25:47.456218Z,48
2021-08-23T16:25:47.836645Z,47
2021-08-23T16:25:48.243214Z,47
2021-08-23T16:25:48.65631Z,46
2021-08-23T16:25:49.061026Z,45
2021-08-23T16:25:49.435237Z,44
2021-08-23T16:25:49.81322Z,43
2021-08-23T16:25:50.202104Z,43
2021-08-23T16:25:50.611196Z,42
2021-08-23T16:25:51.025453Z,42
2021-08-23T16:25:51.422952Z,41
2021-08-23T16:25:51.830335Z,40
2021-08-23T16:25:52.244801Z,39
2021-08-23T16:25:52.660624Z,39
2021-08-23T16:25:53.057278Z,38
2021-08-23T16:25:53.48597Z,37
2021-08-23T16:25:53.869216Z,36
2021-08-23T16:25:54.291639Z,35
2021-08-23T16:25:54.749465Z,35
2021-08-23T16:25:55.162498Z,35
